Price,Open,High,Low,Close,Volume,Pct Change
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2024-05-03,504.73600883419834,506.1085243626562,502.16867826406144,504.8643798828125,72756700,1.2395442977119142
2024-05-06,507.2934057556446,510.11744801239473,506.8490491130431,510.0779724121094,47264700,1.0326718891332742
2024-05-07,511.0554822979131,512.0527986097068,509.9594468588099,510.6407775878906,52561300,0.11033708692023136
2024-05-08,508.7844481717399,511.23326133471676,508.66596110050506,510.690185546875,42047200,0.009675678314957636
2024-05-09,510.87783646053344,513.6722873367964,510.216273554399,513.6327514648438,43643700,0.57619394326478
2024-05-10,515.2521531600112,516.0717390144458,513.0600819270163,514.2943725585938,52233200,0.12881209227080248
2024-05-13,515.9926297171974,516.101232807844,513.2080633480845,514.3633422851562,36716400,0.013410554391124485
2024-05-14,514.5609091971558,517.246756798696,514.0178334036524,516.723388671875,57535900,0.45882865140307594
2024-05-15,519.2215783394845,523.4181658986269,518.579723193792,523.1219482421875,59504900,1.2382949389534215
2024-05-16,523.2207624728927,524.8401663132244,521.8975763428413,522.0457153320312,50244800,-0.20573270033357183
2024-05-17,522.1641713217606,522.8652700844239,520.6929065582314,522.796142578125,59187600,0.14374741982441375
2024-05-20,522.9146052465884,524.8795861621629,522.5196081627743,523.3984375,37764200,0.11520645865994439
2024-05-21,522.6282518632279,524.8400908059087,522.4208693618174,524.6820678710938,33437000,0.24524917904320542
2024-05-22,523.9810886138737,524.7018950646127,520.9693712262205,523.17138671875,48390000,-0.28792315286728654
2024-05-23,526.2620025028626,526.370605604358,518.1255087640279,519.3499755859375,57211200,-0.7304319826777594
2024-05-24,521.2161498690128,523.6057795858457,520.2583694034415,522.7861938476562,41258400,0.6616382830945566
2024-05-28,523.6058519754333,523.8428261329518,520.4855315198485,523.151611328125,36269600,0.06989807396773351
2024-05-29,519.0734544486314,520.6829740747881,518.7673528167415,519.4881591796875,45190300,-0.7002658634916781
2024-05-30,517.9280829339874,518.5995297613006,514.7781710383293,516.0420532226562,46468500,-0.6633656409941846
2024-05-31,517.0098457954774,520.8706806258485,511.8455324725559,520.7423095703125,90785800,0.9108281618335878
2024-06-03,522.3715079503993,522.657841650115,516.032148544318,521.1668090820312,46835700,0.08151815282093633
2024-06-04,519.8437132727871,522.49990899419,518.3625645865347,521.7494506835938,34632700,0.11179560774192687
2024-06-05,524.099489436186,527.9702073859787,522.0850888639186,527.950439453125,47610400,1.1884993384097875
2024-06-06,528.2566594841754,528.691132227732,525.9855766161708,527.940673828125,30808500,-0.001849723813107662
2024-06-07,526.9531296011007,530.1425771236412,525.8472101733005,527.2987670898438,43224500,-0.12158690741267408
2024-06-10,526.4792263610262,529.253909134287,525.8769070309806,528.9280395507812,35729300,0.3089846900134807
2024-06-11,527.3580331066662,530.2610867954452,525.3634003577233,530.2018432617188,36383400,0.24082741236772787
2024-06-12,534.823022521598,537.2817195863698,533.5097205376181,534.556396484375,63251300,0.8213010343132154
2024-06-13,536.323966242378,536.5016968534992,532.808709085761,535.6327514648438,44760900,0.2013548032625989
2024-06-14,534.0825332092376,535.9882708369021,533.0654487335895,535.9586791992188,40089900,0.060849104817362054
2024-06-17,535.2673734870664,541.6363245352009,534.8032489186013,540.2242431640625,55839500,0.7958755274225515
2024-06-18,540.2835606431654,541.725233844278,539.8589718842574,541.5968627929688,41376400,0.25408330823268876
2024-06-20,542.5348869014116,543.206333734204,538.3284150280085,540.1255493164062,70328200,-0.2716621121058638
2024-06-21,539.2925357741935,540.5308084404068,537.9254779136916,539.4014892578125,64513900,-0.13405402864392624
2024-06-24,539.2230582828091,541.8184723430678,537.5290799077853,537.64794921875,45528700,-0.3250899513598471
2024-06-25,538.886299065316,540.0849686628054,537.3508531925171,539.7184448242188,38273300,0.3851024836005301
2024-06-26,538.5890968132603,541.1151605924962,537.935315544085,540.3920288085938,38550600,0.12480284689813104
2024-06-27,540.2533395091051,541.8284487491936,539.5004601471773,541.2439575195312,35041500,0.1576501253757856
2024-06-28,542.0265552795133,545.1173392760371,537.85609191082,539.1141357421875,76144500,-0.393504952388668
2024-07-01,540.5108902585941,540.758544752217,537.4300828689322,540.2236328125,40297800,0.20580003319428108
2024-07-02,538.599012790672,543.8591918945312,538.5494939837195,543.8591918945312,40434800,0.6729729803014894
2024-07-03,543.5421627913393,546.6527176503928,543.5025598400373,546.2861938476562,32789900,0.44625557300421725
2024-07-05,546.593332444134,549.8425281579695,545.9494065364628,549.4364013671875,41488400,0.576658820048781
2024-07-08,550.2288458063081,551.0312439407816,548.9905733480141,550.0703735351562,36110500,0.11538590570103757
2024-07-09,551.0412210519627,551.9525727530728,550.3081733491656,550.6053466796875,27289700,0.09725540044869252
2024-07-10,551.843584377519,556.4004030574295,551.5464110657902,556.0537109375,38701200,0.9895225846729971
2024-07-11,556.1725813645302,557.0542459098444,550.6152288053468,551.2590942382812,53054200,-0.8622578367717515
2024-07-12,552.3983011311424,558.3816118783382,551.9228238555439,554.7361450195312,53084400,0.630747105597318
2024-07-15,556.7570277181121,559.5406617004013,554.3795204861657,556.26171875,40584300,0.27500889281606433
2024-07-16,557.589165634412,559.8576591562987,556.8263704034057,559.5604858398438,36475300,0.5930242867074442
2024-07-17,553.5573788940302,555.2513576014627,551.3879228494364,551.71484375,57119000,-1.4021079558661498
2024-07-18,553.2700660994436,554.2705999484662,545.2658557697873,547.4749145507812,56270400,-0.7685001132831548
2024-07-19,547.2371678865376,548.8816275932654,542.7694711202483,543.83935546875,65509100,-0.6640594820703893
2024-07-22,547.8117452037362,550.0604673756361,545.8503409432385,549.4462890625,43346700,1.0309907764797899
2024-07-23,549.337291558151,551.5166632808257,548.0891636493933,548.58447265625,34439600,-0.1568518021516696
2024-07-24,543.7105808194543,544.0176699808688,535.2209773062864,536.1521606445312,74515300,-2.2662529895389527
2024-07-25,536.2710007218393,542.3237223216066,532.4076270111065,533.3585815429688,61158300,-0.5210422164865003
2024-07-26,537.192383905728,542.0562919162144,536.4097569520611,539.3320922851562,53763800,1.1199802438551787
2024-07-29,540.8972361512061,541.9175412062577,537.6281485235597,539.6490478515625,39515800,0.05876816361201076
2024-07-30,541.1350205544782,542.2049049678778,533.4676465939222,536.9149780273438,46853600,-0.5066384968348547
2024-07-31,543.8294859958498,548.3070989978249,542.4426569823155,545.642333984375,65663400,1.6254633068900404
2024-08-01,547.3857715555625,549.6641807633281,534.3690370943198,537.9154663085938,76428700,-1.4161048720978675
2024-08-02,530.7235665615322,531.9519231451793,523.6406240360384,527.9003295898438,82789100,-1.8618421194464219
2024-08-05,506.83986271705425,518.6678453317485,505.4826905163604,512.5260009765625,146267400,-2.912354425924768
2024-08-06,514.3485960195756,524.7798315083766,513.0112860421735,517.2511596679688,84826300,0.9219354105748812
2024-08-07,523.511906231245,526.6026902576085,513.1896827964204,513.7939453125,70698300,-0.6683821371590515
2024-08-08,518.9946921355962,526.3054584092854,516.9441659152586,525.6715087890625,63276600,2.3117367545735235
2024-08-09,524.8393438265869,529.4952607290277,523.6010712707529,527.989501953125,45619600,0.44095849314760294
2024-08-12,529.1980901235476,530.7037884446491,525.9686656073576,528.2669067382812,42542100,0.05253982969928295
2024-08-13,531.4963351382646,537.1923889659508,531.2486806240174,536.95458984375,52333100,1.644563192328241
2024-08-14,537.7569791487715,539.847229165935,535.052611245972,538.6485595703125,42446900,0.31547727845206985
2024-08-15,544.3445900065761,548.168360968592,543.730411684699,547.881103515625,60846800,1.7140199822825997
2024-08-16,546.246535635152,549.8127965494804,546.0880633659141,549.1094360351562,44430700,0.22419691273332099
2024-08-19,549.5255203879397,554.3597412109375,548.6636875389138,554.3597412109375,39121800,0.9561491446388404
2024-08-20,553.9041032003555,555.5782501123483,552.1011711057072,553.4583129882812,33732300,-0.16260708627346965
2024-08-21,554.5182893635274,556.8363017589311,549.5255356579909,555.3602905273438,41514600,0.3436532606752474
2024-08-22,557.2820707271261,557.8962490623195,549.7731692085193,551.0015258789062,56121500,-0.7848534947103691
2024-08-23,554.2804965886761,557.8070941103703,552.0614615681247,556.8560791015625,50639400,1.0625294028573817
2024-08-26,557.896216929936,558.6193486946379,553.8049599073349,555.5286254882812,35788600,-0.23838360809905756
2024-08-27,554.240856351132,556.7867518721707,553.0818502181188,556.2914428710938,32693900,0.13731378507129133
2024-08-28,555.944805281924,556.3806796641229,549.8326480761413,553.0620727539062,41066000,-0.580517669033398
2024-08-29,555.0531441896234,558.3915218624276,551.9525051521193,553.1115112304688,38715200,0.008939046627509661
2024-08-30,555.5089295042542,558.9067423208585,551.9129809757791,558.3916015625,62700100,0.9546158821184259
2024-09-03,555.2116295150004,555.5484662312776,544.3544951641693,546.900390625,60600100,-2.0579125662608666
2024-09-04,545.0380423502995,549.2283371934773,544.304994695349,545.781005859375,47224900,-0.2046779970929946
2024-09-05,545.7215723262182,548.6042441438841,541.9670913565726,544.4535522460938,44264300,-0.24322092543163087
2024-09-06,544.7804197789798,546.4248189179493,534.3789316488474,535.290283203125,68493800,-1.6830212614402984
2024-09-09,539.5401323975631,542.5714211405976,537.5885834445576,541.2835693359375,40445800,1.1196329021609053
2024-09-10,543.2152768632277,543.9979037862945,538.2820185267881,543.6412353515625,36394600,0.4355694776616792
2024-09-11,543.5521385747207,550.1496282139123,534.8941464527446,549.2184448242188,75248600,1.025898903538769
2024-09-12,549.8028664126241,554.1516936316567,547.5541443659336,553.8446044921875,51892700,0.8423168798435743
2024-09-13,554.4588342965648,557.747693381765,554.2012639371025,556.7372436523438,39310500,0.522283531643053
2024-09-16,556.469793106888,557.8269350456358,554.6470896904447,557.5595092773438,36656100,0.14769366238294168
2024-09-17,559.7981543534722,561.2643099684927,555.528593598197,557.7872314453125,49321000,0.040842665971907444
2024-09-18,558.4510079757443,563.354579399442,555.5683360633434,556.1329956054688,59044900,-0.2965711200590526
2024-09-19,565.6527944370424,567.5052452619498,562.7502909495536,565.623046875,75315500,1.70643557287935
2024-09-20,564.237952213736,565.6985982057745,561.584845604879,564.6453247070312,77503100,-0.17285755475674458
2024-09-23,565.7284114396389,566.7121216588677,564.4962264504853,566.0562744140625,44116900,0.24988247405808295
2024-09-24,566.8611587218248,567.7355813214435,563.999423059069,567.6759643554688,46805700,0.2861358516134782
2024-09-25,567.5170087741786,568.2622511765038,565.301113457304,566.4239501953125,38428600,-0.22055084921162038
2024-09-26,570.7364392510955,571.064362885533,566.2848774298052,568.6696166992188,48336000,0.3964639036064588
2024-09-27,569.7527127715928,570.5774039966909,566.8015214416548,567.8448486328125,42100900,-0.14503466374615748
