Price,Open,High,Low,Close,Volume,Pct Change
Ticker,DFIN,DFIN,DFIN,DFIN,DFIN,
Date,,,,,,
2024-05-03,63.5099983215332,64.44000244140625,62.81999969482422,63.689998626708984,245700,2.0346050865402088
2024-05-06,64.13999938964844,64.73999786376953,63.16999816894531,63.18000030517578,367200,-0.8007510323910227
2024-05-07,63.349998474121094,64.05999755859375,62.849998474121094,62.88999938964844,506700,-0.4590074614222339
2024-05-08,62.88999938964844,63.52000045776367,61.439998626708984,62.709999084472656,279600,-0.2862145125182014
2024-05-09,62.7599983215332,62.779998779296875,62.130001068115234,62.290000915527344,149100,-0.669746731106724
2024-05-10,62.2400016784668,62.66999816894531,61.58100128173828,61.68000030517578,147300,-0.9792913812584403
2024-05-13,62.06999969482422,62.47999954223633,61.40999984741211,61.849998474121094,255000,0.2756131130094097
2024-05-14,62.08000183105469,62.08000183105469,61.09000015258789,61.31999969482422,211900,-0.8569099310788753
2024-05-15,61.58000183105469,63.80500030517578,61.44300079345703,62.7599983215332,164300,2.348334367050775
2024-05-16,62.5,63.060001373291016,62.189998626708984,62.709999084472656,141500,-0.07966736519715578
2024-05-17,62.900001525878906,65.2699966430664,61.869998931884766,64.5,292800,2.8544106867489205
2024-05-20,64.25,65.26000213623047,63.959999084472656,64.11000061035156,132300,-0.604650216509206
2024-05-21,64.04000091552734,64.33999633789062,63.09000015258789,63.38999938964844,90000,-1.1230716172959565
2024-05-22,63.150001525878906,63.64500045776367,62.11000061035156,62.209999084472656,108800,-1.8614928483000948
2024-05-23,62.349998474121094,62.349998474121094,60.75,61.189998626708984,129000,-1.6396085400654847
2024-05-24,61.31999969482422,61.75,60.7400016784668,61.630001068115234,100100,0.7190757497650857
2024-05-28,61.9900016784668,61.9900016784668,60.13999938964844,60.83000183105469,129000,-1.2980678617486419
2024-05-29,60.119998931884766,60.970001220703125,59.939998626708984,60.400001525878906,127100,-0.706888529068328
2024-05-30,60.77000045776367,61.279998779296875,59.19499969482422,59.779998779296875,236300,-1.0264945876141796
2024-05-31,59.869998931884766,61.08000183105469,59.709999084472656,60.959999084472656,132100,1.9739048666298054
2024-06-03,61.279998779296875,61.279998779296875,59.560001373291016,60.119998931884766,117100,-1.3779530269085072
2024-06-04,60.189998626708984,60.599998474121094,59.54999923706055,59.70000076293945,94600,-0.6985997611562933
2024-06-05,59.7400016784668,61.22999954223633,59.720001220703125,61.13999938964844,96800,2.4120579703625467
2024-06-06,60.880001068115234,61.005001068115234,59.314998626708984,59.83000183105469,158300,-2.1426195153275485
2024-06-07,59.52000045776367,59.52000045776367,58.22999954223633,58.349998474121094,119200,-2.473680948753376
2024-06-10,57.720001220703125,58.869998931884766,57.349998474121094,58.869998931884766,206200,0.8911747581181073
2024-06-11,58.45000076293945,58.849998474121094,57.81999969482422,58.25,135500,-1.0531662020278443
2024-06-12,59.7400016784668,60.06999969482422,58.70000076293945,58.83000183105469,81100,0.9957112979479543
2024-06-13,58.540000915527344,58.540000915527344,57.5,57.79999923706055,91600,-1.7508117659966294
2024-06-14,56.88999938964844,57.72999954223633,56.652000427246094,57.5,110900,-0.5190298287550688
